Country,Region/State,City,Zip/Postal Code From,Zip/Postal Code To,Weight>,Weight<=,Shipping Price,Shipping Method
GBR,*,*,IV4,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV40,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV41,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV42,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV43,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV44,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV45,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV46,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV47,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV48,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV49,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV5,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV50,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV51,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV52,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV53,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV54,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV55,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV56,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV6,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV63,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV7,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV8,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV9,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,JE1,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,JE2,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,JE3,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,JE4,,0,0,9.99,DPD 2 Day Delivery
